,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
AC107072.2,6.13062E-41,0.683155937,0.194,0.023,1.71473E-36
C11orf49,6.13638E-41,0.556173532,0.703,0.413,1.71635E-36
SCNN1A,6.63768E-41,-0.595023091,0.075,0.237,1.85656E-36
GBP1,6.74125E-41,0.692332413,0.186,0.018,1.88553E-36
RPL7A,6.87149E-41,-0.398453485,0.022,0.138,1.92196E-36
AC025810.1,7.32821E-41,-0.876382941,0.015,0.121,2.0497E-36
TXNIP,7.34929E-41,-0.788585375,0.214,0.424,2.0556E-36
DUSP1,8.65303E-41,-0.801597209,0.13,0.316,2.42025E-36
F11-AS1,9.59624E-41,-0.672594593,0.02,0.131,2.68407E-36
LIN52,9.83468E-41,-0.875589129,0.199,0.391,2.75076E-36
LRRN2,1.00766E-40,0.679591612,0.213,0.034,2.81843E-36
KLKB1,1.35136E-40,-0.731317171,0.048,0.185,3.77976E-36
TBC1D22B,1.53329E-40,0.661655811,0.373,0.141,4.28861E-36
DYNC2LI1,1.57965E-40,0.580662986,0.515,0.244,4.41828E-36
TCF12,1.59377E-40,0.557396828,0.909,0.785,4.45778E-36
PLCB4,1.85998E-40,0.782609529,0.542,0.274,5.20238E-36
EPHX2,2.11883E-40,-0.809566264,0.086,0.245,5.92636E-36
FBLIM1,2.81077E-40,0.579984305,0.242,0.049,7.86174E-36
PANK1,3.09187E-40,-0.554581083,0.038,0.169,8.64795E-36
SAMD5,3.11103E-40,-0.842788898,0.339,0.531,8.70154E-36
FCHSD2,3.26609E-40,0.537114082,0.733,0.419,9.13524E-36
COBL,3.26721E-40,-0.896159902,0.352,0.524,9.1384E-36
NR4A1,3.47975E-40,-0.666877166,0.019,0.13,9.73286E-36
PAK3,5.32334E-40,0.742007188,0.243,0.05,1.48894E-35
SLC5A2,6.08647E-40,-0.669724463,0.029,0.148,1.70239E-35
TMEM163,6.45587E-40,0.692339382,0.287,0.078,1.80571E-35
DENND5A,6.83332E-40,0.576508589,0.5,0.228,1.91128E-35
PROS1,6.95553E-40,0.724909345,0.367,0.137,1.94546E-35
PFKL,7.60217E-40,-0.728015581,0.059,0.201,2.12633E-35
RETREG1,8.62249E-40,0.668388527,0.744,0.463,2.41171E-35
PARVA,9.01542E-40,0.626013539,0.494,0.239,2.52161E-35
PDZD3,9.28862E-40,-0.604747157,0.022,0.134,2.59803E-35
ITM2B,9.50825E-40,-0.804195389,0.277,0.478,2.65946E-35
TOB1,1.06313E-39,-0.538762953,0.038,0.167,2.97358E-35
SLC25A48,1.06917E-39,-0.831825469,0.089,0.252,2.99048E-35
TNFRSF19,1.27162E-39,0.655435781,0.418,0.178,3.55672E-35
COL1A2,1.27386E-39,0.49372776,0.164,0.008,3.56299E-35
AC107021.1,1.29872E-39,0.747259499,0.19,0.023,3.63252E-35
ERRFI1,1.31921E-39,-1.112980401,0.449,0.607,3.68984E-35
DPF3,1.42197E-39,-0.683658551,0.036,0.162,3.97724E-35
SIGIRR,1.55454E-39,-0.597870417,0.026,0.143,4.34806E-35
NUTM2A-AS1,1.57556E-39,0.588586841,0.507,0.24,4.40685E-35
AMOTL1,1.72347E-39,0.592426508,0.328,0.108,4.82055E-35
NECTIN3,1.92611E-39,0.710067893,0.468,0.223,5.38732E-35
FRMD4B,2.30752E-39,-1.014465534,0.384,0.536,6.45413E-35
C5orf67,2.3628E-39,-1.015175506,0.034,0.159,6.60876E-35
PFDN5,2.8061E-39,-0.494760039,0.03,0.15,7.84867E-35
MAGI2,3.07796E-39,-0.730663716,0.653,0.793,8.60906E-35
SLC25A44,3.14671E-39,-0.621261219,0.037,0.162,8.80134E-35
AP002762.2,3.16075E-39,0.669159842,0.151,0.003,8.84062E-35
RASGRP1,3.85281E-39,0.585233325,0.263,0.065,1.07763E-34
AF117829.1,4.74451E-39,0.548560158,0.726,0.439,1.32704E-34
PHLDB1,4.92346E-39,0.484736287,0.445,0.182,1.37709E-34
SLC17A3,5.09419E-39,-0.756310913,0.065,0.214,1.42484E-34
ITGA6,5.92218E-39,-0.882591851,0.201,0.378,1.65643E-34
GAPDH,6.82986E-39,-0.36330634,0.01,0.104,1.91031E-34
MEF2A,6.87171E-39,0.720027058,0.805,0.59,1.92202E-34
ARID5B,6.92345E-39,0.848532108,0.732,0.519,1.93649E-34
AC104041.1,1.34716E-38,1.050254494,0.211,0.037,3.768E-34
ANKRD26,1.46653E-38,-0.969681337,0.355,0.521,4.10189E-34
PTBP2,1.50866E-38,0.568327152,0.712,0.44,4.21972E-34
BEAN1,1.5368E-38,0.693872797,0.184,0.022,4.29844E-34
IL17RB,2.03689E-38,-0.70328554,0.029,0.146,5.69719E-34
PARP10,2.26278E-38,-0.751179691,0.05,0.183,6.32899E-34
RPL18,2.28457E-38,-0.349539177,0.01,0.103,6.38993E-34
CNTN6,2.98213E-38,0.700590161,0.189,0.024,8.34101E-34
ZNF609,3.0007E-38,0.591902817,0.764,0.5,8.39297E-34
ENOX1,3.19624E-38,-0.820620587,0.113,0.278,8.93988E-34
PTPRJ,3.33499E-38,0.627789863,0.862,0.668,9.32796E-34
RBMS1,3.67462E-38,0.588670392,0.779,0.528,1.02779E-33
LRRC75B,4.1661E-38,-0.640507202,0.031,0.147,1.16526E-33
TMEM72,4.20519E-38,-0.369023461,0.01,0.103,1.17619E-33
CRY1,4.3509E-38,0.700677886,0.425,0.183,1.21695E-33
LINC01428,4.35456E-38,-0.932502366,0.061,0.203,1.21797E-33
OSBPL10,4.5654E-38,0.631057514,0.82,0.618,1.27694E-33
COL1A1,4.84967E-38,0.429606402,0.161,0.009,1.35645E-33
AP002518.2,5.78372E-38,0.926825345,0.25,0.066,1.61771E-33
P4HA2,6.26931E-38,-0.805570379,0.062,0.202,1.75353E-33
KHDRBS2,6.57196E-38,-0.95320908,0.089,0.242,1.83818E-33
SLC12A6,6.80366E-38,-0.877905438,0.191,0.369,1.90298E-33
CYB5A,9.46379E-38,-0.815480353,0.182,0.358,2.64702E-33
AL079338.1,1.02751E-37,0.784622203,0.226,0.047,2.87395E-33
RPS27A,1.07847E-37,-0.335211077,0.013,0.109,3.01648E-33
RPS19,1.17551E-37,-0.377928949,0.017,0.12,3.28791E-33
RPL21,1.21759E-37,-0.601349057,0.059,0.201,3.40559E-33
ARL4C,1.2212E-37,0.444356751,0.151,0.006,3.41571E-33
SEMA6D,1.30559E-37,-0.535832263,0.027,0.142,3.65173E-33
PXDC1,1.41762E-37,0.579844001,0.259,0.066,3.96508E-33
ADGRF5,1.62788E-37,-0.72803397,0.043,0.169,4.55317E-33
IFT43,2.17039E-37,0.577023516,0.503,0.253,6.07059E-33
PKD2,2.26846E-37,0.591016371,0.68,0.42,6.34487E-33
GPR155,2.3498E-37,-0.781743848,0.086,0.236,6.5724E-33
ADGRV1,2.35647E-37,-0.603872316,0.024,0.134,6.59103E-33
XRCC5,2.39023E-37,0.55036292,0.613,0.341,6.68547E-33
ACTB,2.41857E-37,-0.503615796,0.168,0.379,6.76474E-33
GLYATL1,2.7877E-37,-0.663280442,0.031,0.149,7.79721E-33
USP31,2.84888E-37,0.567984243,0.457,0.206,7.96831E-33
RHOBTB1,2.89756E-37,-0.939719779,0.396,0.561,8.10446E-33
ARHGEF3,2.95008E-37,0.633467209,0.555,0.297,8.25137E-33
PTPRF,3.12943E-37,0.585428672,0.43,0.187,8.75301E-33
ZYX,3.41618E-37,0.378952681,0.228,0.046,9.55506E-33
PNPLA3,3.72672E-37,-0.478336346,0.013,0.107,1.04236E-32
PITPNB,5.03103E-37,0.644502278,0.55,0.296,1.40718E-32
PTPRO,5.05705E-37,0.95076601,0.456,0.226,1.41446E-32
AC019117.1,5.30798E-37,0.693981424,0.275,0.079,1.48464E-32
TBC1D4,5.39507E-37,-1.075082899,0.389,0.552,1.509E-32
CTTNBP2NL,5.64879E-37,0.559447981,0.399,0.163,1.57997E-32
CA12,6.50166E-37,-1.074187478,0.237,0.419,1.81851E-32
C12orf75,7.96149E-37,0.656930085,0.51,0.257,2.22683E-32
AC019197.1,8.30264E-37,-0.416670238,0.371,0.588,2.32225E-32
TTLL5,8.39947E-37,0.566254449,0.527,0.275,2.34933E-32
CORO2B,8.51009E-37,0.729267018,0.215,0.043,2.38027E-32
TTC39C,8.67545E-37,0.514740371,0.28,0.079,2.42652E-32
MCF2L,8.75675E-37,-0.800184095,0.331,0.513,2.44926E-32
NFKB1,9.34868E-37,0.666480679,0.563,0.295,2.61483E-32
ITSN1,9.45492E-37,0.635355332,0.699,0.446,2.64454E-32
CACNB2,9.84675E-37,-0.766330923,0.154,0.328,2.75414E-32
AL157938.2,1.04847E-36,0.662259267,0.205,0.038,2.93258E-32
RELB,1.11169E-36,0.59080922,0.311,0.102,3.10939E-32
MYO7B,1.20399E-36,-0.668710264,0.061,0.202,3.36757E-32
STX12,1.60269E-36,0.63702898,0.37,0.146,4.48273E-32
IL1RAPL2,2.08903E-36,-0.740620917,0.082,0.232,5.84301E-32
CMYA5,2.09606E-36,-1.072523825,0.167,0.336,5.86269E-32
TTTY10,2.61587E-36,-0.40795255,0.013,0.107,7.3166E-32
AC097518.2,2.90841E-36,1.26168553,0.216,0.045,8.13482E-32
HSPD1,3.00085E-36,-0.87545948,0.141,0.302,8.39339E-32
MAP3K7CL,3.27884E-36,0.674783015,0.227,0.052,9.17092E-32
NFIB,3.74907E-36,0.570469787,0.926,0.808,1.04862E-31
COL4A2,3.79858E-36,0.751031827,0.741,0.487,1.06246E-31
CARHSP1,4.07168E-36,0.625190634,0.301,0.099,1.13885E-31
HNF1A,6.41333E-36,-0.473903599,0.019,0.121,1.79381E-31
AP002336.2,6.55668E-36,0.703538148,0.281,0.092,1.8339E-31
RPL35A,6.79233E-36,-0.390096716,0.017,0.115,1.89982E-31
ROR1,6.97262E-36,0.758220707,0.568,0.328,1.95024E-31
KCNJ3,7.90838E-36,-0.836373864,0.164,0.341,2.21197E-31
ACSM1,8.17212E-36,0.773831272,0.211,0.044,2.28574E-31
PER2,9.49783E-36,0.504363932,0.307,0.101,2.65654E-31
RPL4,1.0802E-35,-0.333149921,0.019,0.121,3.02133E-31
MPC1,1.18081E-35,-0.782435798,0.121,0.278,3.30274E-31
ZNF462,1.4961E-35,0.572842757,0.62,0.362,4.1846E-31
CDH4,1.81834E-35,0.964653134,0.171,0.02,5.08589E-31
HDAC9,2.25871E-35,0.723473374,0.404,0.177,6.31761E-31
LINC02275,2.42929E-35,-0.587162084,0.021,0.122,6.79473E-31
IL1RAP,2.67713E-35,0.588140024,0.214,0.044,7.48794E-31
NDUFV1,3.02604E-35,-0.655851288,0.068,0.203,8.46383E-31
CCDC146,3.18452E-35,0.611602078,0.475,0.24,8.90711E-31
SNHG14,3.5056E-35,-0.747497562,0.709,0.788,9.80515E-31
ST6GALNAC3,3.62733E-35,-0.623383801,0.069,0.209,1.01456E-30
RAPGEF5,3.91304E-35,0.572217007,0.276,0.081,1.09448E-30
MCRIP2,4.07029E-35,-0.488210332,0.027,0.136,1.13846E-30
