,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
URGCP,1.4576E-117,-0.419543161,0.202,0.404,4.0768E-113
TCF4,2.1732E-117,0.825970982,0.404,0.213,6.0784E-113
TFEB,2.1848E-117,-0.410822769,0.099,0.254,6.111E-113
PRUNE2,2.504E-117,-0.296664802,0.079,0.221,7.0036E-113
HOGA1,2.5228E-117,-0.280985135,0.033,0.136,7.0564E-113
ACO1,2.95E-117,-0.287732073,0.083,0.231,8.2512E-113
FGD6,4.3117E-117,0.949161366,0.301,0.129,1.206E-112
EDIL3,7.8283E-117,0.703997475,0.167,0.023,2.1896E-112
SMAD3,9.0026E-117,0.697858333,0.759,0.633,2.518E-112
COX6C,1.081E-116,-0.320967132,0.07,0.205,3.0236E-112
UQCRC2,1.3278E-116,-0.41403046,0.167,0.352,3.7138E-112
LDLRAD4,1.9473E-116,1.104646757,0.38,0.204,5.4467E-112
ZNF697,3.4103E-116,-0.259405538,0.027,0.124,9.5385E-112
TMSB4X,4.6311E-116,0.642790408,0.204,0.046,1.2953E-111
BHMT2,5.1337E-116,-0.368827689,0.185,0.388,1.4359E-111
KLF12,5.8795E-116,-0.499141956,0.458,0.696,1.6445E-111
TYMP,1.6429E-115,0.686219069,0.189,0.037,4.5951E-111
LCN2,1.8459E-115,0.787962248,0.127,0,5.1631E-111
STIM2,7.3749E-115,-0.630320015,0.346,0.549,2.0628E-110
GPR155,3.5876E-114,-0.25898221,0.048,0.166,1.0034E-109
PTH1R,2.5099E-113,-0.638169959,0.106,0.257,7.0201E-109
TLK1,2.8888E-113,-0.464582226,0.477,0.693,8.0799E-109
MYO1D,4.0987E-113,0.69726333,0.644,0.49,1.1464E-108
AC018467.1,4.6244E-113,-0.251012177,0.019,0.103,1.2934E-108
IPCEF1,6.5752E-113,-0.563901477,0.357,0.574,1.8391E-108
LINC02343,7.9408E-113,-0.441913375,0.191,0.389,2.221E-108
RAP1B,2.9759E-112,0.755770041,0.624,0.491,8.3236E-108
ANXA6,4.7072E-112,-0.307169994,0.04,0.147,1.3166E-107
EIF3K,5.2081E-112,-0.326401331,0.076,0.212,1.4567E-107
MAN1A1,5.3824E-112,-0.493294266,0.419,0.644,1.5054E-107
ARHGAP35,6.3064E-112,-0.424732043,0.257,0.47,1.7639E-107
CHCHD3,6.3629E-112,-0.481300841,0.48,0.693,1.7797E-107
BTG2,1.9909E-111,-0.805728042,0.175,0.337,5.5685E-107
MAGI2-AS3,3.3157E-111,-0.312911805,0.072,0.207,9.2741E-107
MAP3K21,4.4049E-111,-0.540373326,0.249,0.452,1.2321E-106
SLC19A2,4.7088E-111,-0.465498304,0.148,0.318,1.3171E-106
RASGRF2,2.0385E-110,-0.452261502,0.159,0.335,5.7018E-106
TRIM24,2.2147E-110,-0.470566811,0.16,0.335,6.1944E-106
AC009879.4,4.1261E-110,-0.343433005,0.079,0.219,1.1541E-105
USP9Y,4.7312E-110,-0.386220486,0.244,0.463,1.3233E-105
FERMT2,5.2275E-110,-0.45766407,0.342,0.557,1.4621E-105
TSC22D1,6.1348E-110,-0.58500491,0.489,0.689,1.7159E-105
NFAT5,2.9035E-109,0.536597132,0.899,0.886,8.1211E-105
LRRK1,3.5038E-109,0.656690227,0.136,0.009,9.8002E-105
RNPC3,4.5358E-109,-0.426858307,0.41,0.666,1.2687E-104
PSMG2,4.6243E-109,-0.494800252,0.113,0.263,1.2934E-104
SIPA1L2,6.7334E-109,0.861227307,0.253,0.091,1.8833E-104
CLYBL,8.4172E-109,-0.404977998,0.256,0.471,2.3543E-104
KLHDC7B,8.9024E-109,0.576280025,0.141,0.011,2.49E-104
TBC1D4,1.0987E-108,-0.485417652,0.404,0.641,3.0732E-104
KLF9,1.9707E-108,-0.294201831,0.087,0.231,5.5121E-104
NPDC1,2.036E-108,0.551056133,0.151,0.017,5.6947E-104
DDX5,5.5798E-108,-0.412046739,0.429,0.662,1.5607E-103
AC026167.1,7.3546E-108,-0.594043508,0.049,0.16,2.0571E-103
SVIL,8.2064E-108,0.875089277,0.532,0.4,2.2953E-103
TSPAN1,1.051E-107,0.605351725,0.177,0.034,2.9396E-103
PLS3-AS1,2.0977E-107,-0.436181255,0.032,0.129,5.8671E-103
VWA8,2.7705E-107,-0.43560991,0.481,0.717,7.7491E-103
HNRNPDL,2.9208E-107,-0.354283704,0.174,0.359,8.1693E-103
TGFBR1,3.0576E-107,0.885905473,0.476,0.309,8.552E-103
RPS29,3.5667E-107,-0.307713184,0.071,0.197,9.9761E-103
COL6A1,5.3655E-107,-0.30499286,0.091,0.233,1.5007E-102
ST5,7.9872E-107,0.917863363,0.327,0.158,2.234E-102
S100A11,9.0348E-107,0.542872661,0.156,0.022,2.527E-102
ETFDH,1.6828E-106,-0.318658539,0.116,0.275,4.7069E-102
GNG7,1.9274E-106,-0.403296598,0.153,0.328,5.3908E-102
CAPN8,2.7274E-106,0.643117781,0.122,0.002,7.6285E-102
AFAP1,2.7419E-106,0.685050229,0.237,0.076,7.6691E-102
MSRA,3.3724E-106,-0.341960094,0.239,0.459,9.4325E-102
LIFR,4.3628E-106,-0.352631421,0.31,0.538,1.2203E-101
SLC12A3,5.091E-106,-2.698081586,0.037,0.132,1.424E-101
RAPGEF5,1.1114E-105,0.745191858,0.203,0.054,3.1086E-101
GRM8,1.4565E-105,0.813114973,0.175,0.035,4.0738E-101
LHX1,4.3995E-105,-0.532067414,0.239,0.437,1.2305E-100
RAB31,4.7719E-105,0.863926934,0.28,0.115,1.3347E-100
AC015522.1,8.7433E-105,0.91725228,0.242,0.076,2.4455E-100
GPR137B,1.1927E-104,-0.382577849,0.072,0.201,3.3361E-100
RIPOR1,1.8922E-104,-0.264283112,0.045,0.153,5.2924E-100
EXPH5,3.0144E-104,-0.521867631,0.16,0.33,8.4313E-100
PAX8,3.4644E-104,0.610972641,0.784,0.713,9.69E-100
ADAM22,4.688E-104,-0.538738825,0.215,0.4,1.3112E-99
NEBL,6.007E-104,-0.457471594,0.592,0.805,1.6802E-99
SGO1-AS1,9.0678E-104,-0.449135118,0.283,0.505,2.5363E-99
SLC15A1,1.1038E-103,0.716059304,0.157,0.024,3.0874E-99
ARHGEF10L,1.6104E-103,-0.475212259,0.387,0.607,4.5042E-99
RPS6KA6,2.6063E-103,-0.400393019,0.209,0.404,7.2898E-99
SPATS2,5.7635E-103,-0.524123474,0.385,0.581,1.61204E-98
MIR100HG,8.0457E-103,-0.297651294,0.119,0.277,2.25037E-98
UXS1,8.7884E-103,-0.419363181,0.125,0.279,2.45812E-98
MRPS25,9.9935E-103,-0.334565024,0.095,0.236,2.79517E-98
ANKRD13A,1.0878E-102,0.844409381,0.483,0.339,3.04267E-98
EPB41L4B,1.11E-102,-0.323461905,0.05,0.16,3.10477E-98
C11orf54,1.3504E-102,-0.295384119,0.145,0.316,3.77711E-98
PCAT1,1.657E-102,0.723508734,0.65,0.534,4.63474E-98
SOCS2-AS1,1.873E-102,-0.250468682,0.026,0.114,5.23878E-98
VPS13C,3.0694E-102,0.669926033,0.646,0.54,8.585E-98
SGPP1,6.1755E-102,-0.576062129,0.431,0.635,1.72728E-97
LPP,6.6469E-102,0.474956016,0.914,0.917,1.85912E-97
ZNF684,7.2446E-102,-0.30184665,0.05,0.159,2.02633E-97
CHPT1,1.2061E-101,-0.457666888,0.282,0.484,3.37337E-97
MTURN,1.3012E-101,-0.32435029,0.133,0.295,3.63955E-97
MTMR10,1.8143E-101,-0.528733915,0.33,0.524,5.0745E-97
ASAP2,2.1693E-101,-0.446460827,0.641,0.819,6.06764E-97
CCDC198,2.3514E-101,-0.412139142,0.475,0.688,6.57695E-97
UBA5,3.2017E-101,-0.418504197,0.136,0.293,8.95528E-97
LAMB3,6.0582E-101,0.770430601,0.117,0.003,1.69448E-96
NR4A1,2.1336E-100,-0.663833211,0.147,0.302,5.96776E-96
