"","gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","Regulation"
"47","INTS11",2577.07265499424,-0.11185153054316,0.0827549233022541,0.115740672619324,0.341370564557644,"Not Significant"
"48","MIR6727",0,NA,NA,NA,NA,"Not Significant"
"49","CPTP",1309.6006582219,-0.000543095052880517,0.0773322483866892,0.998886642504881,0.999315228147139,"Not Significant"
"50","TAS1R3",17.202630897341,-0.00799961798265244,0.153795045883326,0.842347282491201,NA,"Not Significant"
"51","DVL1",5329.31384031232,-0.0668436219839723,0.0928713885122472,0.367212380971154,0.643098545289341,"Not Significant"
"52","MIR6808",0.133349771394833,-0.00171360250446192,0.159356026836244,0.772085198985632,NA,"Not Significant"
"53","MXRA8",1320.41593158521,0.00491159182159889,0.100580847079108,0.95713974290178,0.983668949513118,"Not Significant"
"54","AURKAIP1",3361.72093840716,-0.0906893755552001,0.074208514526864,0.161898448436679,0.415712591806517,"Not Significant"
"55","CCNL2",2729.264225261,-0.105075361338946,0.0974953393784398,0.173811013444252,0.433606996662221,"Not Significant"
"56","MRPL20-AS1",249.480412370314,-0.0718994028875646,0.131533450965481,0.386996953871703,0.658614647309022,"Not Significant"
"57","MRPL20",1598.30645215554,-0.142409736404888,0.0797783656496091,0.0443524833370434,0.183022350123464,"Not Significant"
"58","MRPL20-DT",133.815785155685,0.0536842508671101,0.131542228777911,0.503370615729647,0.745496086679566,"Not Significant"
"59","ANKRD65",0.76430952827536,0.00101626730802478,0.159156320436665,0.88165950628842,NA,"Not Significant"
"60","ANKRD65-AS1",0,NA,NA,NA,NA,"Not Significant"
"61","TMEM88B",0.133349771394833,-0.00171360250446192,0.159356026836244,0.772085198985632,NA,"Not Significant"
"62","LINC01770",0.211899415222093,-0.00046962386723835,0.15930707219263,0.946307569725807,NA,"Not Significant"
"63","LOC107985729",0,NA,NA,NA,NA,"Not Significant"
"64","VWA1",157.346805347744,0.00808997915940268,0.135810402174951,0.912370690421772,0.964389165623678,"Not Significant"
"65","ATAD3C",11.3029354014119,-0.00302514547526753,0.155639631858932,0.926294366062042,NA,"Not Significant"
"66","ATAD3B",1992.64107172992,0.0155352831630504,0.0926272013122541,0.837726082709035,0.933194402269554,"Not Significant"
"67","ATAD3A",3466.97699355709,-0.0132620446492338,0.0819821801445161,0.850289548641414,0.938469363848087,"Not Significant"
"68","TMEM240",48.157401408384,0.044199373703652,0.149203448719021,0.501140568139459,0.743976857003665,"Not Significant"
"69","SSU72",2419.06480670756,0.0158041464068918,0.0717179919295011,0.812667903223305,0.920653246350353,"Not Significant"
"70","FNDC10",1065.55086499442,0.469398593213463,0.117004406279954,5.58164468547651e-06,0.000151036930021043,"Up"
"71","LOC105378586",12.7955102089533,0.070403270116848,0.177761574906437,0.0702391705345444,NA,"Not Significant"
"72","MIB2",1556.18417855734,-0.0179226505721539,0.0889659979334644,0.80741531163378,0.918691025311102,"Not Significant"
"73","MMP23B",13.0095664774102,-0.0316463700947616,0.160080108234774,0.336095506595779,NA,"Not Significant"
"74","CDK11B",1620.24523958254,-0.0267051855356502,0.097830318847792,0.719982425552322,0.873567686336045,"Not Significant"
"75","SLC35E2B",695.677063809988,0.171975280254882,0.106383106153572,0.0414355326005608,0.175542006533622,"Not Significant"
"76","MMP23A",3.35517513354148,0.00688416489828604,0.158165591550635,0.740495502930936,NA,"Not Significant"
"77","CDK11A",543.092334229558,-0.0637693747206457,0.109533481935457,0.432124795103323,0.692733377387594,"Not Significant"
"78","SLC35E2A",841.591267486547,0.0139551763004521,0.0971511087485135,0.856596423432885,0.940776624630348,"Not Significant"
"79","LOC112268218",1.91850803652413,-0.00746517277531037,0.158872418668657,0.616337082755669,NA,"Not Significant"
"80","NADK",1981.69914861639,0.0195600727182954,0.0768592979672823,0.778469778079181,0.905071637042785,"Not Significant"
"81","GNB1",17824.3349386002,0.0500104872841655,0.0604457618481053,0.374045205073831,0.648107209554358,"Not Significant"
"82","GNB1-DT",12.91912308107,0.0122389214008504,0.155060041174909,0.750766515479975,NA,"Not Significant"
"83","CALML6",5.27871675824277,0.0103237773627353,0.157551729092195,0.699774192857231,NA,"Not Significant"
"84","TMEM52",6.992846445824,-0.00788392579908576,0.157872797839051,0.72926662243576,NA,"Not Significant"
"85","CFAP74",2.6358100150998,-0.0176151211996224,0.159852986059362,0.302088913749143,NA,"Not Significant"
"86","LOC107984872",0,NA,NA,NA,NA,"Not Significant"
"87","LOC105378589",0,NA,NA,NA,NA,"Not Significant"
"88","GABRD",0,NA,NA,NA,NA,"Not Significant"
"89","LOC105378590",0,NA,NA,NA,NA,"Not Significant"
"90","PRKCZ",206.514057594608,-0.0174909658472106,0.116194374382261,0.825363718249815,0.926885277589506,"Not Significant"
"91","PRKCZ-DT",0,NA,NA,NA,NA,"Not Significant"
"92","PRKCZ-AS1",31.6506778701564,0.00145838947516004,0.148376945767554,0.98015633832625,NA,"Not Significant"
"93","FAAP20",1316.98243277661,-0.0822340957479413,0.0888786514400614,0.267536578198581,0.548352973655045,"Not Significant"
"94","LOC112268219",40.9950867379578,0.0909708959455995,0.179939030299532,0.150763001348886,0.401634656714523,"Not Significant"
"95","SKI",4107.63522392466,0.351481176156056,0.0917291877078839,1.92394901458921e-05,0.000425274734980124,"Up"
"96","LOC124905687",18.6005803788043,0.00492299564785297,0.155789239279738,0.880411468824807,NA,"Not Significant"
"97","LOC124903824",21.2590674855073,-0.0118469778251974,0.154199223617178,0.76897341950912,NA,"Not Significant"
"98","MORN1",159.294978537803,0.19682572279192,0.17940992690274,0.061025806077207,0.226407876805694,"Not Significant"
"99","LOC100129534",40.0900508615725,0.0726590761738626,0.163921470897829,0.268429387029832,0.549474759843502,"Not Significant"
"100","RER1",4334.57624865289,-0.118915225590065,0.0787182089410254,0.0832231810095346,0.27743968966691,"Not Significant"
"101","PEX10",1004.85370507955,0.289262983996543,0.109638451410206,0.0015337882139751,0.0164752690078846,"Up"
"102","PLCH2",22.2465453331482,-0.0122178167663318,0.151337745809221,0.798927917084862,NA,"Not Significant"
"103","PANK4",1376.01265064854,-0.0299142468790374,0.080378729071449,0.669564416421328,0.847315447566811,"Not Significant"
"104","HES5",1.81770540532309,0.0028565603658565,0.158687607976577,0.842234209481246,NA,"Not Significant"
"105","TNFRSF14-AS1",3.20999201073812,0.00669026623576892,0.158862757772233,0.615588906576373,NA,"Not Significant"
"106","TNFRSF14",82.4554838484892,-0.0922383989861723,0.169060015643429,0.210774436494953,0.482387850160664,"Not Significant"
