,gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,Regulation
103,PANK4,1294.770709,0.01177117,0.078063352,0.87350104,0.950157636,Not Significant
104,HES5,11.66518945,0.103322155,0.210526857,0.07337019,NA,Not Significant
105,TNFRSF14-AS1,0.719191427,0.00139937,0.175213084,0.93145935,NA,Not Significant
106,TNFRSF14,43.19095409,-0.075226741,0.181669209,0.259197779,0.548070526,Not Significant
107,LOC100996583,0.26756406,0.001626494,0.175755681,0.811883245,NA,Not Significant
108,PRXL2B,1167.497399,-0.190415739,0.098999911,0.023814121,0.120987066,Not Significant
109,MMEL1,0.788263425,0.004686379,0.175602882,0.722924264,NA,Not Significant
110,MMEL1-AS1,0,NA,NA,NA,NA,Not Significant
111,TTC34,10.94545547,-0.041138787,0.177554362,0.30990301,NA,Not Significant
112,LOC128966585,0,NA,NA,NA,NA,Not Significant
113,LOC107985732,0,NA,NA,NA,NA,Not Significant
114,LOC124905688,0,NA,NA,NA,NA,Not Significant
115,LOC124905689,0,NA,NA,NA,NA,Not Significant
116,LOC105378598,0.057957617,0.002179439,0.175776013,0.796839196,NA,Not Significant
117,LOC107984904,0,NA,NA,NA,NA,Not Significant
118,LOC124903826,0,NA,NA,NA,NA,Not Significant
119,ACTRT2,0,NA,NA,NA,NA,Not Significant
120,LOC124903827,0.0505391,-0.000307226,0.175776691,1,NA,Not Significant
121,PRDM16-DT,0,NA,NA,NA,NA,Not Significant
122,PRDM16,0.258726832,0.00217049,0.175759055,0.806798838,NA,Not Significant
123,MIR4251,0,NA,NA,NA,NA,Not Significant
124,LOC105378606,0,NA,NA,NA,NA,Not Significant
125,LOC107984909,0,NA,NA,NA,NA,Not Significant
126,LOC105378605,0.222518146,-0.003333696,0.175795796,0.703460775,NA,Not Significant
127,LOC124903828,0,NA,NA,NA,NA,Not Significant
128,LOC105378604,37.54344644,-0.023455335,0.158358785,0.741917987,0.894617134,Not Significant
129,ARHGEF16,120.6448983,-0.146355767,0.207375033,0.125153205,0.356989939,Not Significant
130,MEGF6,917.8929445,0.17624033,0.106049156,0.043514792,0.183995307,Not Significant
131,LOC105378608,0.685734907,-0.002550348,0.175673804,0.814971993,NA,Not Significant
132,MIR551A,0,NA,NA,NA,NA,Not Significant
133,TPRG1L,1733.309553,0.29635273,0.159917131,0.01168254,0.072048311,Not Significant
134,WRAP73,524.1575182,-0.111322009,0.105785962,0.183154524,0.449099238,Not Significant
135,TP73,9.586121848,-0.043333713,0.176843889,0.349966101,NA,Not Significant
136,TP73-AS3,0.892248172,0.006194792,0.17562918,0.816839752,NA,Not Significant
137,TP73-AS2,0,NA,NA,NA,NA,Not Significant
138,GFOD3P,1247.18068,0.034763138,0.086921977,0.653750766,0.850862767,Not Significant
139,CCDC27,0,NA,NA,NA,NA,Not Significant
140,SMIM1,2.982648576,-0.042540293,0.181586011,0.091154778,NA,Not Significant
141,LRRC47,1873.168455,-0.72087539,0.164221482,7.21E-07,2.35E-05,Down
142,CEP104,1342.068795,0.296642125,0.116828928,0.002389903,0.022257603,Up
143,DFFB,209.9501378,-0.029176344,0.121115204,0.740030621,0.893178099,Not Significant
144,C1orf174,844.1699432,-0.049133149,0.086676393,0.514044785,0.770898943,Not Significant
145,LINC01134,10.12822425,0.08085507,0.193670342,0.133063355,NA,Not Significant
146,LINC01346,0,NA,NA,NA,NA,Not Significant
147,LINC01345,0,NA,NA,NA,NA,Not Significant
148,LINC02780,0,NA,NA,NA,NA,Not Significant
149,LINC01777,0,NA,NA,NA,NA,Not Significant
150,LOC105376674,0.049983058,-0.001600135,0.175775989,0.858244616,NA,Not Significant
151,LOC124904578,0,NA,NA,NA,NA,Not Significant
152,LINC01646,0,NA,NA,NA,NA,Not Significant
153,AJAP1,1039.34849,-0.26020397,0.091545214,0.001315645,0.013967801,Down
154,LINC02781,0,NA,NA,NA,NA,Not Significant
155,LOC124904589,0,NA,NA,NA,NA,Not Significant
156,LOC102724429,0,NA,NA,NA,NA,Not Significant
157,LINC02782,0,NA,NA,NA,NA,Not Significant
158,LOC105376682,0,NA,NA,NA,NA,Not Significant
159,LOC107984911,0,NA,NA,NA,NA,Not Significant
160,LOC105376686,0,NA,NA,NA,NA,Not Significant
161,LOC124900451,0,NA,NA,NA,NA,Not Significant
162,LOC124903830,0,NA,NA,NA,NA,Not Significant
163,MIR4689,0.157648632,0.002437498,0.175762755,0.796841241,NA,Not Significant
164,NPHP4,682.3168729,-0.107848796,0.109760746,0.216727167,0.494935125,Not Significant
165,KCNAB2,248.4438166,-0.060162055,0.149883338,0.487309772,0.752172264,Not Significant
