"","gene","baseMean","log2FoldChange","lfcSE","pvalue","padj","Regulation"
"21","ISG15",3037.61857679026,0.0154726788099787,0.161981192961243,0.637377647711745,0.855125144572442,"Not Significant"
"22","AGRN",29121.8567719056,0.041233142957995,0.096776009943362,0.600196018355538,0.833578046595814,"Not Significant"
"23","LOC100288175",113.392316385473,-0.239179353102187,0.194916350014155,0.0351236995208015,0.176223877907316,"Not Significant"
"24","LOC105378948",23.0692467323361,-0.129109072839652,0.216336999586396,0.0764230749586562,0.289928843521097,"Not Significant"
"25","RNF223",1.03547811350616,0.0102855937652923,0.164124734095957,0.447137797309655,NA,"Not Significant"
"26","C1orf159",705.741162983567,-0.0538105389381141,0.085656563638064,0.461799213973687,0.747703436475786,"Not Significant"
"27","LOC124903820",5.34155108612971,-0.000146984674147733,0.162384542706034,0.994927617117768,NA,"Not Significant"
"28","LINC01342",0.74511451236022,-0.00337123296829736,0.163942009592821,0.778203300686053,NA,"Not Significant"
"29","LOC124903818",103.142316257905,-0.245447342757352,0.258018626600402,0.0391891823930028,0.189583462410637,"Not Significant"
"30","MIR200B",0,NA,NA,NA,NA,"Not Significant"
"31","MIR200A",0,NA,NA,NA,NA,"Not Significant"
"32","MIR429",0,NA,NA,NA,NA,"Not Significant"
"33","TTLL10-AS1",0.0579576166214185,-0.00028945368251833,0.164233476315084,1,NA,"Not Significant"
"34","TTLL10",0.364753473767433,-0.00229398498529171,0.164121127811364,0.971147798581713,NA,"Not Significant"
"35","TNFRSF18",0.0579576166214185,-0.00028945368251833,0.164233476315084,1,NA,"Not Significant"
"36","TNFRSF4",0.473270420336034,-0.00658777259721565,0.164362751643517,0.456294666275572,NA,"Not Significant"
"37","SDF4",6762.02835882102,0.105669672422787,0.067543609422597,0.0856769389710433,0.310292963112444,"Not Significant"
"38","B3GALT6",1517.8745820437,-0.074014380365838,0.155128297833954,0.334291601170504,0.64189807695279,"Not Significant"
"39","C1QTNF12",19.3696351947174,-0.101404711219113,0.195306268197096,0.100975721243967,0.339935235852442,"Not Significant"
"40","UBE2J2",2891.86457925914,-0.0431196966466725,0.0865913597567113,0.553843104634242,0.807972539981545,"Not Significant"
"41","LINC01786",74.2366716118639,0.0650300248834235,0.149481576841314,0.410522301159863,0.707700833592953,"Not Significant"
"42","SCNN1D",147.774988416733,-0.0510916299542826,0.129735269515446,0.558241358010059,0.810372861526419,"Not Significant"
"43","ACAP3",1797.79108517279,-0.00560300884462368,0.099771673839844,0.944348020565349,0.982773792695973,"Not Significant"
"44","MIR6726",0,NA,NA,NA,NA,"Not Significant"
"45","SNORD167",0,NA,NA,NA,NA,"Not Significant"
"46","PUSL1",650.125552274224,-0.073761572475935,0.0941991689820776,0.380116769644526,0.682935995888614,"Not Significant"
"47","INTS11",2070.78341109279,-0.123665486832217,0.0839551381496744,0.0906621791321268,0.31999265985785,"Not Significant"
"48","MIR6727",0,NA,NA,NA,NA,"Not Significant"
"49","CPTP",1635.51231503335,0.111055068739503,0.093574304648717,0.153500553198922,0.433981672351902,"Not Significant"
"50","TAS1R3",10.7140592202033,-0.12578066664872,0.232838052147312,0.0179186514265559,NA,"Not Significant"
"51","DVL1",5231.24055797218,0.04794338689097,0.0718764999491851,0.469060282630808,0.751620394573218,"Not Significant"
"52","MIR6808",0,NA,NA,NA,NA,"Not Significant"
"53","MXRA8",11.1467132755458,0.0258927753319178,0.162392419029822,0.505783348914852,NA,"Not Significant"
"54","AURKAIP1",3756.86408299726,-0.0618414068744654,0.0754737454124055,0.356435363565998,0.662789615603083,"Not Significant"
"55","CCNL2",3479.60453029941,-0.0778181955962356,0.107987048528564,0.340183341772078,0.646773376784356,"Not Significant"
"56","MRPL20-AS1",295.578465271016,0.0488448502336773,0.112454419494712,0.55790431920365,0.810372861526419,"Not Significant"
"57","MRPL20",1746.90377872015,-0.144272316729127,0.0831691382911389,0.0455973718065302,0.209288693774863,"Not Significant"
"58","MRPL20-DT",147.947209763261,0.451028004676885,0.202875040320708,0.0020535418793399,0.0230425970552766,"Up"
"59","ANKRD65",5.89217383918905,0.00281066572224738,0.162077977912608,0.91714458025255,NA,"Not Significant"
"60","ANKRD65-AS1",0.613960613954478,-0.00279145817796227,0.164106998760185,0.829830839923565,NA,"Not Significant"
